Job #,Doc #,Borough,Initial Cost,Total Est. Fee,Existing Zoning Sqft,Proposed Zoning Sqft,Enlargement SQ Footage,Street Frontage,ExistingNo. of Stories,Proposed No. of Stories,Existing Height,Proposed Height
121577873,2,MANHATTAN,"$75,000.00",$986.00,0,0,0,0,0,0,0,0
520129502,1,STATEN ISLAND,$0.00,"$1,144.00",0,0,0,143,0,0,0,0
121601560,1,MANHATTAN,"$30,000.00",$522.50,0,0,0,0,5,5,54,54
121601203,1,MANHATTAN,"$1,500.00",$225.00,0,0,0,0,12,12,120,120
121601338,1,MANHATTAN,"$19,500.00",$389.50,0,0,0,0,6,6,64,64
121589753,1,MANHATTAN,"$3,062,400.00","$31,762.40",0,0,0,0,102,102,1250,1250
320738001,1,BROOKLYN,"$10,000.00",$316.50,0,0,0,0,,3,36,36
121601374,1,MANHATTAN,"$146,800.00","$1,727.60",0,0,0,0,27,27,300,300
121583054,1,MANHATTAN,$0.00,$160.00,0,0,0,0,34,34,398,398
121601392,1,MANHATTAN,"$5,000.00",$265.00,0,0,0,0,1,1,16,16
121601169,1,MANHATTAN,"$21,200.00",$440.10,0,0,0,0,6,6,60,60
420828206,1,QUEENS,"$20,000.00",$419.50,0,0,0,0,3,3,28,28
420828493,1,QUEENS,"$37,600.00",$764.90,0,0,0,0,1,1,15,15
440075142,1,QUEENS,"$10,000.00",$316.50,0,0,0,0,1,1,12,12
420836723,1,QUEENS,"$3,000.00",$280.00,14683,4791,0,0,1,1,15,15
121584525,1,MANHATTAN,$0.00,$472.00,0,0,0,30,4,0,45,0
121600311,1,MANHATTAN,"$94,000.00","$1,181.70",0,0,0,0,6,6,75,75
320744290,1,BROOKLYN,"$5,000.00",$265.00,0,0,0,0,4,4,52,52
320744557,1,BROOKLYN,"$7,500.00",$295.90,0,0,0,0,1,1,24,24
320744370,1,BROOKLYN,"$20,000.00",$207.25,0,0,0,0,2,2,25,25
220286232,1,BRONX,"$1,000.00",$225.00,0,0,0,0,11,11,101,101
121599779,1,MANHATTAN,$0.00,$160.00,0,0,0,0,40,40,520,520
420837401,1,QUEENS,"$67,000.00","$1,063.60",0,0,0,0,2,2,26,26
220286287,1,BRONX,"$70,000.00",$934.50,0,0,0,0,3,3,60,60
240024362,1,BRONX,$0.00,$440.00,0,0,0,0,18,18,180,180
320744316,1,BROOKLYN,"$11,000.00",$326.80,0,0,0,0,3,3,33,33
121601249,3,MANHATTAN,"$16,000.00",$378.30,0,0,0,0,0,0,0,0
121592605,1,MANHATTAN,"$41,000.00",$635.80,0,0,0,0,43,43,546,546
121577873,1,MANHATTAN,"$509,500.00","$5,466.50",0,0,0,0,20,20,200,200
520129496,1,STATEN ISLAND,"$12,238.00",$347.40,0,0,0,0,1,1,15,15
121562996,1,MANHATTAN,"$3,500.00",$245.00,0,0,0,0,33,33,360,360
320744307,1,BROOKLYN,"$5,000.00",$265.00,0,0,0,0,4,4,45,45
420805597,2,QUEENS,$0.00,$157.00,0,0,0,0,0,0,0,0
121601249,1,MANHATTAN,"$30,000.00",$522.50,0,0,0,0,39,39,432,432
121592632,1,MANHATTAN,"$10,000.00",$316.50,0,0,0,0,41,41,432,432
220286205,1,BRONX,"$344,584.00","$3,767.00",0,0,0,0,6,6,59,59
121481770,1,MANHATTAN,"$9,000.00",$306.20,0,0,0,0,12,12,150,150
121601533,1,MANHATTAN,"$130,000.00","$1,552.50",0,0,0,0,15,15,180,180
220286330,1,BRONX,"$15,000.00",$368.00,0,0,0,0,2,2,30,30
140073453,1,MANHATTAN,$0.00,$180.00,0,0,0,0,6,6,60,60
220283057,1,BRONX,"$120,000.00","$1,664.50",3375,3375,0,0,3,3,35,35
520129389,1,STATEN ISLAND,$0.00,$539.44,0,1921,0,0,0,3,0,25
402890403,4,QUEENS,"$19,320.00",$419.50,0,0,0,0,0,0,0,0
520129398,1,STATEN ISLAND,$0.00,$576.04,0,2094,0,0,0,3,0,25
121600339,1,MANHATTAN,"$30,000.00",$522.50,0,0,0,0,6,6,75,75
121600320,1,MANHATTAN,"$25,000.00",$471.00,0,0,0,0,6,6,75,75
240024344,1,BRONX,$0.00,$240.00,0,0,0,0,13,13,130,130
121601347,1,MANHATTAN,"$10,000.00",$476.50,0,0,0,0,5,5,60,60
121600231,1,MANHATTAN,$0.00,$160.00,0,0,0,0,20,20,210,210
220210536,1,BRONX,"$40,625.00",$315.40,0,0,0,0,3,3,26,26
520133338,1,STATEN ISLAND,"$16,108.00",$191.80,0,0,0,0,2,2,24,24
520129352,1,STATEN ISLAND,$0.00,$621.04,0,2372,0,0,0,3,0,25
240024415,1,BRONX,$0.00,$230.00,0,0,0,0,6,6,60,60
140073523,1,MANHATTAN,$0.00,$170.00,0,0,0,0,4,4,56,56
121600767,1,MANHATTAN,"$85,000.00","$1,089.00",0,0,0,0,15,15,115,115
121600446,1,MANHATTAN,"$10,000.00",$316.50,0,0,0,0,28,28,342,342
121601221,1,MANHATTAN,"$24,000.00",$460.70,0,0,0,0,39,39,432,432
140073417,1,MANHATTAN,$0.00,$180.00,0,0,0,0,7,7,96,96
121601356,1,MANHATTAN,"$10,000.00",$476.50,0,0,0,0,5,5,60,60
420828983,1,QUEENS,$0.00,$160.00,0,0,0,0,1,1,28,28
121601365,1,MANHATTAN,"$5,000.00",$265.00,0,0,0,0,5,5,53,53
320744469,1,BROOKLYN,"$24,278.00",$631.00,0,0,0,0,3,3,35,35
320517525,1,BROOKLYN,"$600,000.00","$6,448.50",4842,4842,0,0,3,3,40,40
220286189,1,BRONX,"$321,520.00","$3,530.10",0,0,0,0,5,5,53,53
121577873,3,MANHATTAN,"$136,000.00","$1,614.30",0,0,0,0,0,0,0,0
121598280,3,MANHATTAN,"$15,000.00",$368.00,0,0,0,0,0,0,0,0
520133329,1,STATEN ISLAND,"$32,940.00",$274.20,0,0,0,0,2,2,21,21
121601524,1,MANHATTAN,"$13,200.00",$357.70,0,0,0,0,6,6,62,62
140073541,1,MANHATTAN,$0.00,$240.00,0,0,0,0,14,14,113,113
240024406,1,BRONX,"$7,500.00",$295.90,0,0,0,0,6,6,65,65
220286250,1,BRONX,$0.00,$210.00,0,0,0,0,6,6,65,65
220286214,1,BRONX,"$160,000.00","$1,861.50",0,0,0,0,16,16,237,237
520129012,1,STATEN ISLAND,$0.00,$260.00,0,1,0,0,0,1,0,12
520129370,1,STATEN ISLAND,$0.00,$458.56,0,1640,0,0,0,3,0,25
520129325,1,STATEN ISLAND,$0.00,$587.68,0,2165,0,0,0,3,0,25
220286312,1,BRONX,"$85,000.00","$1,089.00",0,0,0,0,1,1,16,16
440075482,1,QUEENS,"$37,800.00",$604.90,0,0,0,0,2,2,20,20
121603470,1,MANHATTAN,$0.00,$200.00,0,0,0,0,0,0,0,0
121601196,1,MANHATTAN,"$6,900.00",$140.30,0,0,0,0,5,5,60,60
121601249,2,MANHATTAN,"$175,000.00","$2,016.00",0,0,0,0,0,0,0,0
121601418,1,MANHATTAN,"$3,000.00",$225.00,0,0,0,0,4,4,44,44
121601061,1,MANHATTAN,"$19,695.00",$419.50,0,0,0,0,42,42,478,478
121598299,1,MANHATTAN,"$17,500.00",$398.90,0,0,0,0,6,6,97,97
121598306,1,MANHATTAN,"$42,300.00",$656.40,0,0,0,0,6,6,97,97
121598280,2,MANHATTAN,"$290,000.00","$3,200.50",0,0,0,0,0,0,0,0
121600678,2,MANHATTAN,"$360,000.00","$3,921.50",0,0,0,0,0,0,0,0
320743978,1,BROOKLYN,"$23,920.00",$460.70,0,0,0,0,3,3,30,30
140073266,1,MANHATTAN,"$12,200.00",$347.40,0,0,0,0,5,5,50,50
320749650,1,BROOKLYN,"$212,300.00","$3,029.20",2466,4160,2180,0,2,4,27,50
320726880,2,BROOKLYN,$0.00,$0.00,0,0,0,0,0,0,0,0
121601472,1,MANHATTAN,"$50,000.00",$728.50,0,0,0,0,7,7,70,70
440075240,1,QUEENS,"$5,000.00",$265.00,0,0,0,0,1,1,16,16
520129414,1,STATEN ISLAND,$0.00,$726.64,0,3060,0,0,0,3,0,25
520129343,1,STATEN ISLAND,$0.00,$548.92,0,1943,0,0,0,3,0,25
440075491,1,QUEENS,$0.00,$230.00,0,0,0,0,16,16,160,160
121600954,1,MANHATTAN,"$594,000.00","$6,386.70",291894,291894,0,0,20,20,175,175
320725499,1,BROOKLYN,$0.00,$160.00,0,0,0,0,2,2,40,40
121601025,1,MANHATTAN,"$3,000.00",$130.00,0,0,0,0,5,5,62,62
320743610,1,BROOKLYN,"$13,250.00",$327.70,0,0,0,0,5,5,55,55
121600847,1,MANHATTAN,"$33,750.00",$563.70,0,0,0,0,7,7,65,65
320743898,1,BROOKLYN,"$173,050.00","$1,000.35",0,0,0,0,3,3,29,29
121597192,1,MANHATTAN,"$17,000.00",$388.60,0,0,0,0,12,12,165,165
420828215,1,QUEENS,"$50,000.00",$586.59,1800,2200,207,0,2,2,29,29
220286269,1,BRONX,"$47,900.00",$762.90,52889,52889,0,0,6,6,66,66
320736628,1,BROOKLYN,"$30,000.00",$522.50,0,0,0,0,2,2,22,22
320740105,1,BROOKLYN,"$49,500.00",$950.64,2778,3017,239,0,2,2,24,24
121603782,1,MANHATTAN,"$55,700.00",$790.30,0,0,0,0,51,51,662,662
320517507,1,BROOKLYN,"$600,000.00","$6,448.50",4356,4356,0,0,3,3,41,41
140073355,1,MANHATTAN,"$90,000.00","$1,140.50",0,0,0,0,17,17,200,200
121600981,1,MANHATTAN,"$51,000.00",$738.80,0,0,0,0,9,9,86,86
140073391,1,MANHATTAN,$0.00,$170.00,0,0,0,0,5,5,55,55
420828359,2,QUEENS,"$55,000.00",$780.00,0,0,0,0,0,0,0,0
121330764,2,MANHATTAN,$0.00,$0.00,0,0,0,0,0,0,0,0
121601230,1,MANHATTAN,"$5,000.00",$265.00,0,0,0,0,40,40,515,515
121589753,2,MANHATTAN,"$637,600.00","$6,784.90",0,0,0,0,0,0,0,0
520129478,1,STATEN ISLAND,"$25,000.00",$471.00,0,0,0,0,1,1,30,30
240024353,1,BRONX,$0.00,$450.00,0,0,0,0,18,18,180,180
340054755,1,BROOKLYN,"$8,000.00",$295.90,0,0,0,0,2,2,28,28
240024380,1,BRONX,"$2,000.00",$225.00,0,0,0,0,6,6,60,60
103643862,1,MANHATTAN,$0.00,$160.00,0,0,0,0,4,4,49,49
320740686,1,BROOKLYN,"$105,600.00",$690.15,3760,3760,0,0,4,4,37,37
121577855,1,MANHATTAN,"$20,000.00",$419.50,0,0,0,0,20,20,200,200
220286223,1,BRONX,"$113,944.00","$1,387.70",0,0,0,0,5,5,54,54
340054835,1,BROOKLYN,"$43,000.00",$816.40,0,0,0,0,3,3,35,35
320744129,1,BROOKLYN,"$16,000.00",$186.65,0,0,0,0,3,3,28,28
121600696,1,MANHATTAN,"$28,000.00",$501.90,0,0,0,0,5,5,55,55
320745627,1,BROOKLYN,$0.00,$160.00,0,0,0,0,5,5,53,53
140073300,1,MANHATTAN,"$6,600.00",$285.60,0,0,0,0,38,38,395,395
320743987,1,BROOKLYN,"$54,000.00",$769.70,0,0,0,0,3,3,30,30
140073499,1,MANHATTAN,"$184,033.00","$2,119.00",0,0,0,0,30,30,190,190
320517534,1,BROOKLYN,"$375,000.00","$4,131.00",2584,2584,0,0,4,4,35,35
520129334,1,STATEN ISLAND,$0.00,$647.80,0,2485,0,0,0,3,0,25
340054773,1,BROOKLYN,"$60,000.00",$573.25,0,0,0,0,2,2,24,24
220286385,1,BRONX,"$32,375.00",$553.40,0,0,0,0,1,1,15,15
220286376,1,BRONX,"$152,250.00","$1,789.40",0,0,0,0,1,1,15,15
440075400,1,QUEENS,"$25,000.00",$233.00,0,0,0,0,2,2,30,30
340054826,1,BROOKLYN,"$42,570.00",$656.40,0,0,0,0,17,17,204,204
520133310,1,STATEN ISLAND,"$19,764.00",$207.25,0,0,0,0,2,2,24,24
121567250,1,MANHATTAN,"$20,000.00",$419.50,0,0,0,0,5,5,81,81
121600678,1,MANHATTAN,"$200,000.00","$2,273.50",0,0,0,0,6,6,90,90
121585873,1,MANHATTAN,"$25,000.00",$471.00,0,0,0,0,9,9,90,90
121603737,1,MANHATTAN,"$252,000.00","$2,809.10",0,0,0,0,28,28,342,342
340054817,1,BROOKLYN,"$51,900.00",$372.05,0,0,0,0,2,2,22,22
320744227,1,BROOKLYN,"$1,500.00",$225.00,0,0,0,0,6,6,60,60
121600099,1,MANHATTAN,"$229,105.00","$2,582.50",0,0,0,0,16,16,160,160
140073444,1,MANHATTAN,"$26,595.00",$491.60,0,0,0,0,21,21,190,190
140073471,1,MANHATTAN,"$136,523.00","$1,784.60",0,0,0,0,13,13,208,208
520129316,1,STATEN ISLAND,$0.00,$587.68,0,2165,0,0,0,3,0,25
220286198,1,BRONX,"$95,000.00","$1,192.00",0,0,0,0,1,1,21,21
140073505,1,MANHATTAN,"$261,700.00","$2,912.10",0,0,0,0,26,26,336,336
121598280,1,MANHATTAN,"$1,066,000.00","$11,193.30",0,0,0,0,6,6,97,97
520129361,1,STATEN ISLAND,$0.00,$599.20,0,2253,0,0,0,3,0,25
302568086,1,BROOKLYN,"$38,000.00",$604.90,0,0,0,0,5,5,85,85
520129414,2,STATEN ISLAND,$0.00,$160.00,0,0,0,0,0,0,0,0
520128139,2,STATEN ISLAND,$0.00,$160.00,0,0,0,0,0,0,0,0
340054808,1,BROOKLYN,"$78,470.00","$1,027.20",0,0,0,0,3,3,36,36
440075507,1,QUEENS,$0.00,$340.00,0,0,0,0,16,16,160,160
140073514,1,MANHATTAN,$0.00,$160.00,0,0,0,0,4,4,56,56
140073532,1,MANHATTAN,$0.00,$160.00,0,0,0,0,14,14,113,113
140073550,1,MANHATTAN,"$58,050.00",$821.20,0,0,0,0,8,8,96,96
121600491,1,MANHATTAN,"$9,200.00",$316.50,0,0,0,0,5,5,55,55
121594907,1,MANHATTAN,"$731,555.00","$7,913.10",0,0,0,0,5,5,58,58
320754787,1,BROOKLYN,$0.00,$200.00,0,0,0,0,0,0,0,0
121600366,1,MANHATTAN,"$23,500.00",$460.70,0,0,0,0,5,5,60,60
121599591,1,MANHATTAN,"$10,000.00",$476.50,0,0,0,0,12,12,138,138
121599822,1,MANHATTAN,"$92,700.00","$1,171.40",0,0,0,0,20,20,260,260
121600455,1,MANHATTAN,"$350,000.00","$3,818.50",0,0,0,0,5,5,71,71
220286152,1,BRONX,$0.00,$190.00,0,0,0,0,0,0,0,0
121600507,1,MANHATTAN,"$28,000.00",$501.90,0,0,0,0,16,16,245,245
420837358,1,QUEENS,$0.00,$200.00,0,0,0,0,0,0,0,0
340054657,1,BROOKLYN,$0.00,$170.00,0,0,0,0,3,3,30,30
121559731,2,MANHATTAN,"$18,000.00",$398.90,0,0,0,0,0,0,0,0
320575739,1,BROOKLYN,"$30,000.00",$522.50,0,0,0,0,1,1,15,15
121600534,1,MANHATTAN,"$73,435.00",$975.70,0,0,0,0,12,12,120,120
320746485,1,BROOKLYN,"$236,220.00","$2,654.60",0,0,0,0,4,4,44,44
320517473,1,BROOKLYN,$0.00,"$1,807.88",0,5006,0,0,0,4,0,40
320746234,1,BROOKLYN,"$502,870.00","$4,361.34",1074,8032,12222,0,3,3,35,37
420828135,1,QUEENS,$0.00,$160.00,0,0,0,0,25,25,258,258
121563968,2,MANHATTAN,"$187,700.00","$2,149.90",0,0,0,0,0,0,0,0
320738984,1,BROOKLYN,"$8,500.00",$306.20,0,0,0,0,4,4,55,55
121597851,1,MANHATTAN,"$705,000.00","$7,475.00",0,0,0,0,24,24,320,320
320744021,1,BROOKLYN,"$3,000.00",$225.00,0,0,0,0,1,1,15,15
121331594,1,MANHATTAN,"$3,000.00",$225.00,0,0,0,0,35,35,385,385
320743941,1,BROOKLYN,$0.00,$260.00,0,0,0,40,1,0,12,0
520125980,1,STATEN ISLAND,$0.00,$200.00,0,0,0,0,0,0,0,0
520128558,1,STATEN ISLAND,$0.00,$200.00,0,0,0,0,0,0,0,0
420832424,1,QUEENS,$0.00,$497.00,0,1500,0,0,0,1,0,21
121597441,1,MANHATTAN,"$56,000.00",$790.30,0,0,0,0,20,20,260,260
121597450,1,MANHATTAN,"$42,000.00",$646.10,0,0,0,0,4,4,83,83
121599831,1,MANHATTAN,"$500,000.00","$5,523.50",0,0,0,0,24,24,259,259
121599467,1,MANHATTAN,"$33,368.00",$563.70,0,0,0,0,44,44,440,440
121597343,1,MANHATTAN,"$19,349.00",$419.50,0,0,0,0,4,4,83,83
121563968,1,MANHATTAN,"$1,221,300.00","$12,800.10",0,0,0,0,11,11,159,159
320743914,1,BROOKLYN,"$16,000.00",$378.30,0,0,0,0,4,4,40,40
121600525,1,MANHATTAN,"$489,000.00","$5,250.20",0,0,0,0,5,5,50,50
121603773,1,MANHATTAN,"$28,900.00",$512.20,0,0,0,0,11,11,159,159
420828153,1,QUEENS,"$500,000.00","$5,363.50",0,0,0,0,2,2,30,30
121331585,1,MANHATTAN,$0.00,"$6,216.00",0,0,0,777,0,0,0,0
420808031,1,QUEENS,"$25,000.00",$471.00,0,0,0,0,1,1,25,25
320745761,1,BROOKLYN,"$70,700.00",$944.80,0,0,0,0,2,2,32,32
121599528,1,MANHATTAN,"$5,600.00",$275.30,0,0,0,0,44,44,440,440
121471861,1,MANHATTAN,"$29,000.00",$512.20,0,0,0,0,24,24,320,320
320744012,1,BROOKLYN,"$30,000.00",$320.31,3127,3640,513,0,2,2,28,29
140073293,1,MANHATTAN,$0.00,$160.00,0,0,0,0,12,12,120,120
520129245,1,STATEN ISLAND,"$5,000.00",$130.00,0,0,0,0,2,2,31,31
121523486,1,MANHATTAN,$0.00,$487.60,0,0,0,21,6,0,60,0
320743086,1,BROOKLYN,"$11,000.00",$326.80,0,0,0,0,3,3,35,35
420833959,1,QUEENS,$0.00,$160.00,0,0,0,0,0,0,0,0
121600543,1,MANHATTAN,$0.00,$130.00,0,0,0,0,4,4,40,40
320745734,1,BROOKLYN,$0.00,$180.00,0,0,0,0,7,7,70,70
320745770,1,BROOKLYN,$0.00,$160.00,0,0,0,0,7,7,70,70
220286161,1,BRONX,"$344,584.00","$3,767.00",0,0,0,0,6,6,59,59
320742746,1,BROOKLYN,$0.00,$200.00,0,0,0,0,0,0,0,0
121523477,1,MANHATTAN,$0.00,$420.00,0,0,0,30,3,0,50,0
121597469,1,MANHATTAN,"$17,000.00",$388.60,0,0,0,0,4,4,83,83
121597254,1,MANHATTAN,"$1,000.00",$225.00,0,0,0,0,25,25,250,250
320728726,1,BROOKLYN,$0.00,$100.00,0,0,0,0,0,0,0,0
320743923,1,BROOKLYN,"$17,000.00",$191.80,0,0,0,0,2,2,25,25
420828162,1,QUEENS,"$5,000.00",$130.00,0,0,0,0,2,2,25,25
121598823,1,MANHATTAN,"$52,000.00",$749.10,0,0,0,0,18,18,210,210
121600589,1,MANHATTAN,"$84,000.00","$1,078.70",0,0,0,0,13,13,104,104
121600516,1,MANHATTAN,"$32,000.00",$543.10,0,0,0,0,16,16,245,245
121600641,1,MANHATTAN,"$50,000.00",$728.50,0,0,0,0,12,12,150,150
320744076,1,BROOKLYN,"$78,000.00","$1,016.90",0,0,0,0,4,4,55,55
320743996,1,BROOKLYN,"$18,000.00",$398.90,0,0,0,0,3,3,30,30
420828144,1,QUEENS,"$38,775.00",$775.20,0,0,0,0,3,3,30,30
121600650,1,MANHATTAN,"$2,000.00",$225.00,0,0,0,0,4,4,35,35
121597842,1,MANHATTAN,"$23,000.00",$450.40,0,0,0,0,24,24,320,320
121600669,1,MANHATTAN,"$20,000.00",$389.50,0,0,0,0,4,4,36,36
220286170,1,BRONX,"$344,584.00","$3,767.00",0,0,0,0,6,6,59,59
121600794,1,MANHATTAN,$0.00,$100.00,0,0,0,0,0,0,0,0
320744003,1,BROOKLYN,"$13,000.00",$402.40,9920,9920,0,0,4,4,43,43
320744049,1,BROOKLYN,"$55,000.00",$940.00,0,0,0,0,3,3,35,35
520129218,1,STATEN ISLAND,$0.00,$528.00,0,0,0,66,0,0,0,0
320744030,1,BROOKLYN,$0.00,$260.00,0,0,0,40,1,0,12,0
121600632,1,MANHATTAN,"$30,000.00",$522.50,0,0,0,0,12,12,130,130
121331610,1,MANHATTAN,"$346,600.00","$5,853.18",6932,13399,7733,0,4,7,43,75
121601016,1,MANHATTAN,"$73,650.00",$975.70,0,0,0,0,26,26,254,254
420835378,1,QUEENS,"$65,000.00",$675.00,1500,1750,300,0,2,2,21,21
121603764,1,MANHATTAN,"$8,000.00",$295.90,0,0,0,0,18,18,210,210
140073319,1,MANHATTAN,"$220,250.00","$1,242.40",0,0,0,0,4,4,40,40
420830382,1,QUEENS,"$20,000.00",$207.25,0,0,0,0,1,1,13,13
121600179,1,MANHATTAN,"$50,000.00",$728.50,0,0,0,0,15,15,165,165
520129441,1,STATEN ISLAND,"$57,000.00",$800.60,0,0,0,0,2,2,24,24
320743629,1,BROOKLYN,"$8,000.00",$265.90,0,0,0,0,4,4,45,45
220242468,1,BRONX,"$324,000.00","$3,550.70",0,0,0,0,1,1,21,21
340054666,1,BROOKLYN,"$55,600.00",$392.65,0,0,0,0,3,3,35,35
320744110,1,BROOKLYN,$0.00,$100.00,0,0,0,0,0,0,0,0
121600614,1,MANHATTAN,"$6,000.00",$275.30,0,0,0,0,35,35,485,485
520129290,1,STATEN ISLAND,"$800,000.00","$8,453.50",0,0,0,0,2,2,27,27
121325823,4,MANHATTAN,$0.00,$0.00,0,0,0,0,0,0,0,0
121600302,1,MANHATTAN,"$300,000.00","$3,463.50",0,0,0,0,6,6,91,91
320730447,1,BROOKLYN,"$5,010.00",$275.30,0,0,0,0,4,4,40,40
121600598,2,MANHATTAN,"$39,500.00",$625.50,0,0,0,0,0,0,0,0
121600963,1,MANHATTAN,$0.00,"$3,687.42",0,10706,0,0,0,6,0,70
320737583,1,BROOKLYN,"$30,000.00",$258.75,0,0,0,0,3,3,35,35
320725505,1,BROOKLYN,$0.00,$160.00,0,0,0,0,4,4,85,85
121600776,2,MANHATTAN,"$72,000.00",$955.10,0,0,0,0,0,0,0,0
320747439,1,BROOKLYN,"$34,800.00",$574.00,0,0,0,0,4,4,45,45
320743763,1,BROOKLYN,"$3,000.00",$225.00,0,0,0,0,3,3,36,36
121603791,1,MANHATTAN,"$15,600.00",$378.30,0,0,0,0,4,4,92,92
121600703,1,MANHATTAN,"$49,000.00",$718.20,0,0,0,0,15,15,150,150
520129281,1,STATEN ISLAND,"$26,444.00",$336.42,7912,8966,776,0,3,3,35,35
420837072,1,QUEENS,"$6,500.00",$140.30,0,0,0,0,2,2,21,21
320745609,1,BROOKLYN,"$152,000.00","$1,834.10",5430,5430,0,0,3,3,30,30
121600936,2,MANHATTAN,"$127,000.00","$1,521.60",0,0,0,0,0,0,0,0
420607365,1,QUEENS,$0.00,$504.00,0,0,0,63,0,0,0,0
320743932,1,BROOKLYN,$0.00,$420.00,0,0,0,40,2,0,24,0
121464432,1,MANHATTAN,"$14,000.00",$357.70,0,0,0,0,19,19,154,154
121600767,2,MANHATTAN,"$25,000.00",$471.00,0,0,0,0,0,0,0,0
320744138,1,BROOKLYN,"$225,000.00","$2,531.00",0,0,0,0,14,14,136,136
340054675,1,BROOKLYN,"$15,000.00",$368.00,0,0,0,0,2,2,28,28
121600945,1,MANHATTAN,"$58,500.00",$821.20,0,0,0,0,32,32,322,322
320747082,1,BROOKLYN,"$160,512.00","$1,315.32",1668,3184,1516,0,2,2,25,35
121597851,2,MANHATTAN,"$69,000.00",$924.20,0,0,0,0,0,0,0,0
121600678,3,MANHATTAN,"$22,500.00",$450.40,0,0,0,0,0,0,0,0
121600918,1,MANHATTAN,"$65,000.00",$853.00,0,0,0,0,6,6,58,58
121601007,1,MANHATTAN,"$3,000.00",$225.00,0,0,0,0,5,5,55,55
121600623,2,MANHATTAN,"$12,500.00",$347.40,0,0,0,0,0,0,0,0
320536684,2,BROOKLYN,$0.00,$0.00,0,0,0,0,0,0,0,0
320745743,1,BROOKLYN,$0.00,$160.00,0,0,0,0,7,7,70,70
121331601,1,MANHATTAN,"$3,000.00",$225.00,0,0,0,0,35,35,385,385
520133301,1,STATEN ISLAND,"$75,000.00",$734.30,1352,1719,365,0,2,2,20,21
121600605,1,MANHATTAN,"$12,350.00",$347.40,0,0,0,0,12,12,128,128
121600936,1,MANHATTAN,"$225,675.00","$2,541.30",0,0,0,0,4,4,52,52
121600623,1,MANHATTAN,"$40,000.00",$625.50,0,0,0,0,35,35,500,500
420828171,1,QUEENS,"$20,000.00",$419.50,0,0,0,0,6,6,70,70
121599680,1,MANHATTAN,"$1,000.00",$225.00,0,0,0,0,7,7,120,120
420828180,1,QUEENS,$0.00,"$10,955.72",0,29962,0,0,0,6,0,70
121600838,1,MANHATTAN,"$50,000.00",$728.50,0,0,0,0,42,42,519,519
121589842,1,MANHATTAN,"$12,200.00",$347.40,0,0,0,0,5,5,50,50
420556801,1,QUEENS,$0.00,$752.36,0,2402,0,0,0,2,0,21
121600856,2,MANHATTAN,"$22,500.00",$450.40,0,0,0,0,0,0,0,0
520129432,1,STATEN ISLAND,"$68,000.00",$454.45,0,0,0,0,2,2,23,23
320744183,1,BROOKLYN,"$25,000.00",$471.00,0,0,0,0,5,5,70,70
420828233,1,QUEENS,"$46,300.00",$697.60,0,0,0,0,4,4,44,44
121589986,1,MANHATTAN,"$1,000.00",$225.00,0,0,0,0,13,13,165,165
121601150,1,MANHATTAN,$0.00,$160.00,0,0,0,0,6,6,65,65
121601098,1,MANHATTAN,"$10,000.00",$476.50,0,0,0,0,5,5,50,50
121600856,1,MANHATTAN,"$145,870.00","$1,717.30",0,0,0,0,12,12,108,108
420828224,1,QUEENS,"$13,000.00",$347.40,0,0,0,0,3,3,30,30
320742906,1,BROOKLYN,$0.00,$615.00,0,0,0,175,1,0,12,0
340054700,1,BROOKLYN,"$8,000.00",$295.90,0,0,0,0,2,2,28,28
121601132,1,MANHATTAN,"$10,000.00",$316.50,0,0,0,0,5,5,55,55
121601141,1,MANHATTAN,"$4,000.00",$130.00,0,0,0,0,5,5,50,50
320747778,1,BROOKLYN,"$15,000.00",$368.00,0,0,0,0,23,23,225,225
121600810,2,MANHATTAN,"$35,000.00",$574.00,0,0,0,0,0,0,0,0
320720733,1,BROOKLYN,"$43,000.00",$983.06,2691,3332,641,0,3,3,33,33
520129423,1,STATEN ISLAND,$0.00,$160.00,0,0,0,0,1,1,20,20
420557891,1,QUEENS,$0.00,$740.36,0,2336,0,0,0,2,0,21
320744147,1,BROOKLYN,"$276,750.00","$3,066.60",0,0,0,0,3,3,30,30
121600972,1,MANHATTAN,"$100,000.00","$1,243.50",0,0,0,0,20,20,178,178
320742808,3,BROOKLYN,$0.00,$0.00,0,0,0,0,0,0,0,0
240024326,1,BRONX,"$18,000.00",$368.90,0,0,0,0,6,6,60,60
320744192,1,BROOKLYN,"$32,500.00",$434.20,0,0,0,0,2,2,25,25
121584534,1,MANHATTAN,$0.00,$784.00,0,0,0,60,4,0,60,0
320517348,2,BROOKLYN,$0.00,$0.00,0,0,0,0,0,0,0,0
420828359,1,QUEENS,"$55,000.00",$780.00,0,0,0,0,15,15,154,154
220286278,1,BRONX,"$175,000.00","$1,005.50",0,0,0,0,2,2,35,35
121600598,1,MANHATTAN,"$490,980.00","$5,270.80",0,0,0,0,12,12,128,128
420828297,1,QUEENS,$100.00,$280.00,4497,4497,0,0,2,2,20,20
320744094,1,BROOKLYN,"$37,700.00",$299.95,0,0,0,0,4,4,32,32
320744058,1,BROOKLYN,$0.00,$160.00,0,0,0,0,3,3,31,31
121600776,1,MANHATTAN,"$137,000.00","$1,624.60",0,0,0,0,22,22,220,220
140073337,1,MANHATTAN,"$10,000.00",$316.50,0,0,0,0,24,24,233,233
